,Year,Quarter,Month,Employee,Cost Object,Paid FTE,Salary,Overhead,Total Expenses
223,2010,Q3,7,Employee 56,::DC/GO/CIS/BY/Minsk,0.6846590909090909,445.0284,417.3823999999999,862.4107999999999
224,2010,Q3,7,Employee 101,::DC/GO/CIS/BY/Minsk,0.41388881879488204,206.94439999999997,252.3152999999999,459.2596999999999
225,2010,Q3,8,Employee 52,::DC/GO/CIS/BY/Minsk,1.0,550.0,676.5167000000001,1226.5167000000001
226,2010,Q3,8,Employee 56,::DC/GO/CIS/BY/Minsk,0.9709302272986924,631.1047,656.8503999999999,1287.9551
227,2010,Q3,8,Employee 101,::DC/GO/CIS/BY/Minsk,1.0000000377762923,500.0,676.5169,1176.5169
228,2010,Q3,9,Employee 52,::DC/GO/CIS/BY/Minsk,0.9999997986647875,550.0,614.0498,1164.0498
229,2010,Q3,9,Employee 56,::DC/GO/CIS/BY/Minsk,1.0000000318950804,650.0,614.0500000000001,1264.05
230,2010,Q3,9,Employee 101,::DC/GO/CIS/BY/Minsk,1.0000001465979544,500.0,614.0499999999998,1114.05
231,2010,Q4,10,Employee 52,::DC/GO/CIS/BY/Minsk,0.9999999086854424,550.0,637.2293999999999,1187.2294
232,2010,Q4,10,Employee 56,::DC/GO/CIS/BY/Minsk,1.0000000188727924,650.0001,637.2297,1287.2297999999998
233,2010,Q4,10,Employee 101,::DC/GO/CIS/BY/Minsk,1.0000000760583658,500.0,637.2294999999999,1137.2295
234,2010,Q4,11,Employee 52,::DC/GO/CIS/BY/Minsk,0.9999998694362222,550.0,589.6516999999999,1139.6517
235,2010,Q4,11,Employee 56,::DC/GO/CIS/BY/Minsk,1.0000000759688321,650.0,589.6518000000001,1239.6518
236,2010,Q4,11,Employee 101,::DC/GO/CIS/BY/Minsk,1.000000260292306,500.0,589.6519,1089.6518999999998
237,2010,Q2,4,Employee 4,::DC/GO/CIS/BY/Minsk,0.7625000665468155,686.25,516.8504999999999,1203.1005
238,2010,Q2,4,Employee 39,::DC/GO/CIS/BY/Minsk,0.9999998912613014,900.0,677.8365,1577.8365000000001
239,2010,Q2,4,Employee 65,::DC/GO/CIS/BY/Minsk,0.888888945277614,711.1111000000001,602.5217000000002,1313.6328000000003
240,2010,Q2,5,Employee 4,::DC/GO/CIS/BY/Minsk,0.7215189534168424,649.3670999999999,454.42060000000004,1103.7877
